n_per_arm_nominal,baseline_callback_rate,risk_difference,cluster_size,icc,design_effect,effective_n_per_arm,approx_power_cluster_adjusted
40,0.05,0.10000000000000002,2,0.05,1.05,38.095238095238095,0.32383506332852924
40,0.05,0.10000000000000002,2,0.1,1.1,36.36363636363636,0.3115163572070294
40,0.05,0.10000000000000002,4,0.01,1.03,38.83495145631068,0.3290711082362999
40,0.05,0.10000000000000002,4,0.05,1.15,34.78260869565218,0.3001972130283134
40,0.05,0.10000000000000002,4,0.1,1.3,30.769230769230766,0.2711873911795958
40,0.05,0.10000000000000002,8,0.01,1.07,37.38317757009346,0.31877969372646187
40,0.05,0.10000000000000002,8,0.05,1.35,29.629629629629626,0.2628852859735791
40,0.05,0.10000000000000002,8,0.1,1.7000000000000002,23.52941176470588,0.21805533623905995
40,0.05,0.15000000000000002,2,0.01,1.01,39.603960396039604,0.563324157288437
40,0.05,0.15000000000000002,2,0.05,1.05,38.095238095238095,0.5472204068783975
40,0.05,0.15000000000000002,2,0.1,1.1,36.36363636363636,0.5282419577399645
40,0.05,0.15000000000000002,4,0.01,1.03,38.83495145631068,0.5551664131930758
40,0.05,0.15000000000000002,4,0.05,1.15,34.78260869565218,0.5104561044571935
40,0.05,0.15000000000000002,4,0.1,1.3,30.769230769230766,0.4633944653937956
40,0.05,0.15000000000000002,8,0.01,1.07,37.38317757009346,0.5394800496709031
40,0.05,0.15000000000000002,8,0.05,1.35,29.629629629629626,0.44954695978996545
40,0.05,0.15000000000000002,8,0.1,1.7000000000000002,23.52941176470588,0.37206963343221955
40,0.05,0.2,2,0.01,1.01,39.603960396039604,0.7558329823860319
40,0.05,0.2,2,0.05,1.05,38.095238095238095,0.7395434212562815
40,0.05,0.2,2,0.1,1.1,36.36363636363636,0.7197559242741571
40,0.05,0.2,4,0.01,1.03,38.83495145631068,0.747638899174525
40,0.05,0.2,4,0.05,1.15,34.78260869565218,0.7006392200074172
40,0.05,0.2,4,0.1,1.3,30.769230769230766,0.6474369950394165
40,0.05,0.2,8,0.01,1.07,37.38317757009346,0.7315497793697744
40,0.05,0.2,8,0.05,1.35,29.629629629629626,0.6310736434178533
40,0.05,0.2,8,0.1,1.7000000000000002,23.52941176470588,0.5338235047079578
40,0.05,0.3,2,0.01,1.01,39.603960396039604,0.9522507947414864
40,0.05,0.3,2,0.05,1.05,38.095238095238095,0.9449031451269448
40,0.05,0.3,2,0.1,1.1,36.36363636363636,0.9351815673248451
40,0.05,0.3,4,0.01,1.03,38.83495145631068,0.9486279962454123
40,0.05,0.3,4,0.05,1.15,34.78260869565218,0.9249447815848183
40,0.05,0.3,4,0.1,1.3,30.769230769230766,0.8919621186394945
40,0.05,0.3,8,0.01,1.07,37.38317757009346,0.9410818894877597
40,0.05,0.3,8,0.05,1.35,29.629629629629626,0.8804557855807238
40,0.05,0.3,8,0.1,1.7000000000000002,23.52941176470588,0.7983456319145396
40,0.1,0.05000000000000002,2,0.01,1.01,39.603960396039604,0.09956607996258243
40,0.1,0.05000000000000002,2,0.05,1.05,38.095238095238095,0.09731078010735844
40,0.1,0.05000000000000002,2,0.1,1.1,36.36363636363636,0.09471453807793428
40,0.1,0.05000000000000002,4,0.01,1.03,38.83495145631068,0.0984172788270044
40,0.1,0.05000000000000002,4,0.05,1.15,34.78260869565218,0.09233595915546691
40,0.1,0.05000000000000002,4,0.1,1.3,30.769230769230766,0.08625670293557214
40,0.1,0.05000000000000002,8,0.01,1.07,37.38317757009346,0.09624422316864426
40,0.1,0.05000000000000002,8,0.05,1.35,29.629629629629626,0.08451777449837107
40,0.1,0.05000000000000002,8,0.1,1.7000000000000002,23.52941176470588,0.07508105581437256
40,0.1,0.1,2,0.01,1.01,39.603960396039604,0.24287111660481017
40,0.1,0.1,2,0.05,1.05,38.095238095238095,0.23533635209831108
40,0.1,0.1,2,0.1,1.1,36.36363636363636,0.22666896060588324
40,0.1,0.1,4,0.01,1.03,38.83495145631068,0.2390326460886554
40,0.1,0.1,4,0.05,1.15,34.78260869565218,0.21873849750121482
40,0.1,0.1,4,0.1,1.3,30.769230769230766,0.1985444104457373
40,0.1,0.1,8,0.01,1.07,37.38317757009346,0.2317746230574395
40,0.1,0.1,8,0.05,1.35,29.629629629629626,0.19279573481557102
40,0.1,0.1,8,0.1,1.7000000000000002,23.52941176470588,0.16192963019998344
40,0.1,0.15,2,0.01,1.01,39.603960396039604,0.4350472730875452
40,0.1,0.15,2,0.05,1.05,38.095238095238095,0.42148800288747545
40,0.1,0.15,2,0.1,1.1,36.36363636363636,0.4057092124075117
40,0.1,0.15,4,0.01,1.03,38.83495145631068,0.4281583111014678
40,0.1,0.15,4,0.05,1.15,34.78260869565218,0.3911075871387373
40,0.1,0.15,4,0.1,1.3,30.769230769230766,0.35325913067422277
40,0.1,0.15,8,0.01,1.07,37.38317757009346,0.4150270958221258
40,0.1,0.15,8,0.05,1.35,29.629629629629626,0.3423214651854106
40,0.1,0.15,8,0.1,1.7000000000000002,23.52941176470588,0.2825453567214715
40,0.1,0.20000000000000004,2,0.01,1.01,39.603960396039604,0.6312702985872501
40,0.1,0.20000000000000004,2,0.05,1.05,38.095238095238095,0.6145039297262505
40,0.1,0.20000000000000004,2,0.1,1.1,36.36363636363636,0.5945721947519056
40,0.1,0.20000000000000004,4,0.01,1.03,38.83495145631068,0.622793978144899
40,0.1,0.20000000000000004,4,0.05,1.15,34.78260869565218,0.575729570758368
40,0.1,0.20000000000000004,4,0.1,1.3,30.769230769230766,0.5251506834988912
40,0.1,0.20000000000000004,8,0.01,1.07,37.38317757009346,0.6063969362702083
40,0.1,0.20000000000000004,8,0.05,1.35,29.629629629629626,0.5100793589452876
40,0.1,0.20000000000000004,8,0.1,1.7000000000000002,23.52941176470588,0.4243181239453512
40,0.1,0.30000000000000004,2,0.01,1.01,39.603960396039604,0.8980315054881437
40,0.1,0.30000000000000004,2,0.05,1.05,38.095238095238095,0.8865313880645015
40,0.1,0.30000000000000004,2,0.1,1.1,36.36363636363636,0.8719051349242278
40,0.1,0.30000000000000004,4,0.01,1.03,38.83495145631068,0.8923083530406005
40,0.1,0.30000000000000004,4,0.05,1.15,34.78260869565218,0.8571052376288069
40,0.1,0.30000000000000004,4,0.1,1.3,30.769230769230766,0.8125672279471137
40,0.1,0.30000000000000004,8,0.01,1.07,37.38317757009346,0.8807086325473131
40,0.1,0.30000000000000004,8,0.05,1.35,29.629629629629626,0.7979073960824976
40,0.1,0.30000000000000004,8,0.1,1.7000000000000002,23.52941176470588,0.7019372409010771
40,0.2,0.04999999999999999,2,0.01,1.01,39.603960396039604,0.07687564840682526
40,0.2,0.04999999999999999,2,0.05,1.05,38.095238095238095,0.0754062752243991
40,0.2,0.04999999999999999,2,0.1,1.1,36.36363636363636,0.07371086933489672
40,0.2,0.04999999999999999,4,0.01,1.03,38.83495145631068,0.07612756458056368
40,0.2,0.04999999999999999,4,0.05,1.15,34.78260869565218,0.07215373727291503
40,0.2,0.04999999999999999,4,0.1,1.3,30.769230769230766,0.06815573143784165
40,0.2,0.04999999999999999,8,0.01,1.07,37.38317757009346,0.07471030672150866
40,0.2,0.04999999999999999,8,0.05,1.35,29.629629629629626,0.06700692922421782
40,0.2,0.04999999999999999,8,0.1,1.7000000000000002,23.52941176470588,0.06072664140190534
40,0.2,0.10000000000000003,2,0.01,1.01,39.603960396039604,0.17679520813797497
40,0.2,0.10000000000000003,2,0.05,1.05,38.095238095238095,0.17169160616207596
40,0.2,0.10000000000000003,2,0.1,1.1,36.36363636363636,0.16582898065699586
40,0.2,0.10000000000000003,4,0.01,1.03,38.83495145631068,0.1741943709201186
40,0.2,0.10000000000000003,4,0.05,1.15,34.78260869565218,0.1604712979896945
40,0.2,0.10000000000000003,4,0.1,1.3,30.769230769230766,0.14684828800339558
40,0.2,0.10000000000000003,8,0.01,1.07,37.38317757009346,0.16928146824253884
40,0.2,0.10000000000000003,8,0.05,1.35,29.629629629629626,0.1429732426959233
40,0.2,0.10000000000000003,8,0.1,1.7000000000000002,23.52941176470588,0.12215841354478271
40,0.2,0.14999999999999997,2,0.01,1.01,39.603960396039604,0.32553142649835765
40,0.2,0.14999999999999997,2,0.05,1.05,38.095238095238095,0.31515780942000976
40,0.2,0.14999999999999997,2,0.1,1.1,36.36363636363636,0.3031787285370974
40,0.2,0.14999999999999997,4,0.01,1.03,38.83495145631068,0.3202515299548294
40,0.2,0.14999999999999997,4,0.05,1.15,34.78260869565218,0.292177324128433
40,0.2,0.14999999999999997,4,0.1,1.3,30.769230769230766,0.26400460577548807
40,0.2,0.14999999999999997,8,0.01,1.07,37.38317757009346,0.31024101554591044
40,0.2,0.14999999999999997,8,0.05,1.35,29.629629629629626,0.25594756915383043
40,0.2,0.14999999999999997,8,0.1,1.7000000000000002,23.52941176470588,0.21247570302698915
40,0.2,0.2,2,0.01,1.01,39.603960396039604,0.5030109398666928
40,0.2,0.2,2,0.05,1.05,38.095238095238095,0.4879167250211415
40,0.2,0.2,2,0.1,1.1,36.36363636363636,0.47024297662832365
40,0.2,0.2,4,0.01,1.03,38.83495145631068,0.4953531004640424
40,0.2,0.2,4,0.05,1.15,34.78260869565218,0.45378687066352574
40,0.2,0.2,4,0.1,1.3,30.769230769230766,0.41070348711229365
40,0.2,0.2,8,0.01,1.07,37.38317757009346,0.48069383252855574
40,0.2,0.2,8,0.05,1.35,29.629629629629626,0.39814400545471995
40,0.2,0.2,8,0.1,1.7000000000000002,23.52941176470588,0.3287290476536162
40,0.2,0.3,2,0.01,1.01,39.603960396039604,0.816890491426338
40,0.2,0.3,2,0.05,1.05,38.095238095238095,0.8019216338432813
40,0.2,0.3,2,0.1,1.1,36.36363636363636,0.7834605699825516
40,0.2,0.3,4,0.01,1.03,38.83495145631068,0.8093873037169307
40,0.2,0.3,4,0.05,1.15,34.78260869565218,0.7653508229032527
40,0.2,0.3,4,0.1,1.3,30.769230769230766,0.7136416571131543
40,0.2,0.3,8,0.01,1.07,37.38317757009346,0.7944996578110481
40,0.2,0.3,8,0.05,1.35,29.629629629629626,0.6973775700552437
40,0.2,0.3,8,0.1,1.7000000000000002,23.52941176470588,0.5976335734751014
40,0.3,0.04999999999999999,2,0.01,1.01,39.603960396039604,0.06882456727536942
40,0.3,0.04999999999999999,2,0.05,1.05,38.095238095238095,0.06762114249766878
40,0.3,0.04999999999999999,2,0.1,1.1,36.36363636363636,0.06623095526518269
40,0.3,0.04999999999999999,4,0.01,1.03,38.83495145631068,0.06821204419749627
40,0.3,0.04999999999999999,4,0.05,1.15,34.78260869565218,0.06495253912571317
40,0.3,0.04999999999999999,4,0.1,1.3,30.769230769230766,0.061662648500693244
40,0.3,0.04999999999999999,8,0.01,1.07,37.38317757009346,0.06705068348965602
40,0.3,0.04999999999999999,8,0.05,1.35,29.629629629629626,0.06071520605302658
40,0.3,0.04999999999999999,8,0.1,1.7000000000000002,23.52941176470588,0.05551730659347926
40,0.3,0.10000000000000003,2,0.01,1.01,39.603960396039604,0.1527360886589176
40,0.3,0.10000000000000003,2,0.05,1.05,38.095238095238095,0.14853083354073765
40,0.3,0.10000000000000003,2,0.1,1.1,36.36363636363636,0.14369984245829004
40,0.3,0.10000000000000003,4,0.01,1.03,38.83495145631068,0.15059306756989835
40,0.3,0.10000000000000003,4,0.05,1.15,34.78260869565218,0.13928425202743464
40,0.3,0.10000000000000003,4,0.1,1.3,30.769230769230766,0.12805093820136923
40,0.3,0.10000000000000003,8,0.01,1.07,37.38317757009346,0.1465448681438898
40,0.3,0.10000000000000003,8,0.05,1.35,29.629629629629626,0.12485338460451875
40,0.3,0.10000000000000003,8,0.1,1.7000000000000002,23.52941176470588,0.10764963873755987
40,0.3,0.14999999999999997,2,0.01,1.01,39.603960396039604,0.28282245296980524
40,0.3,0.14999999999999997,2,0.05,1.05,38.095238095238095,0.27387880222155736
40,0.3,0.14999999999999997,2,0.1,1.1,36.36363636363636,0.26357401127524593
40,0.3,0.14999999999999997,4,0.01,1.03,38.83495145631068,0.278267993838045
40,0.3,0.14999999999999997,4,0.05,1.15,34.78260869565218,0.2541307513310677
